,href,Date,City,State,Country,Shape,Summary,Reported,Media,Explanation
129,https://nuforc.org//sighting/?id=179280,11/05/2023 19:52,Santa Fe,FL,USA,Formation,"While driving (dark) noticed 2 large lights to left. Once at field, saw underside, 3 lights(triangle) and small ones. Drove away.",,Y,Planet/Star?
130,https://nuforc.org//sighting/?id=179286,11/05/2023 10:32,Mount Morris,PA,USA,Orb,"Large extremely fast moving orb moving across the sky that stopped in midair, turned, and continued in the direction",,,
131,https://nuforc.org//sighting/?id=179232,11/02/2023 22:25,Sioux Falls,SD,USA,Chevron,Low flying silent craft with stealth coating.,,,
132,https://nuforc.org//sighting/?id=179204,10/31/2023 19:00,Casa Grande,AZ,USA,Light,Rectangular light fixed in the Northwestern sky for over 3 hours.,,,
133,https://nuforc.org//sighting/?id=179185,10/30/2023 19:52,Garden City,KS,USA,Light,A light moving southwest to the east then changing to a southeast heading,,,
134,https://nuforc.org//sighting/?id=179158,10/29/2023 11:45,Bayport,NY,USA,Orb,"Son playing outside , witnessed object",,Y,
135,https://nuforc.org//sighting/?id=179524,10/29/2023 05:30,Cowes,England,United Kingdom,Triangle,"Large, quiet, triangular craft flew over 2 witnesses at 05:30 on Sunday morning, off the central southern coast of England",,Y,
136,https://nuforc.org//sighting/?id=179134,10/27/2023 18:46,San Diego,CA,USA,Orb,Falling Fire Ball Disseminates into Five Hovering Orbs of Light,,Y,
137,https://nuforc.org//sighting/?id=179103,10/24/2023 21:30,Deshler,OH,USA,Light,Bright rectangular light on the ground,,,
138,https://nuforc.org//sighting/?id=179488,10/24/2023 09:33,Government Hill,AZ,USA,Triangle,Enormous white triangle craft with point straight down.,,,
139,https://nuforc.org//sighting/?id=179071,10/23/2023 03:30,Airborne (Oman),,Oman,Light,Observed steady lights at high altitude at a specific location in the sky.,,Y,
140,https://nuforc.org//sighting/?id=179644,10/22/2023 03:30,Avondale,TX,USA,Triangle,Slow flying and rotating huge Triangle,,Y,
141,https://nuforc.org//sighting/?id=179247,10/21/2023 09:00,Klamath Falls,OR,USA,Cylinder,Heard loud crash and then saw object fly by.,,,
142,https://nuforc.org//sighting/?id=178997,10/19/2023 22:20,Two Harbors,MN,USA,Changing,Shape shifting dark black triangle moved across the sky,,,
143,https://nuforc.org//sighting/?id=178982,10/19/2023 03:00,Las Vegas (in flight),NV,USA,Star,"While operating an airline flight at 37,000’ both pilots witnessed three lights at very high altitude moving in random patterns.",,,
144,https://nuforc.org//sighting/?id=179284,10/18/2023 19:33,Forestville,MD,USA,Fireball,white roundish size object captured on doorbell cam,,Y,
145,https://nuforc.org//sighting/?id=178952,10/17/2023 19:39,Not sure,MN,USA,Formation,"Three series of 3 slightly yellow/ white,lights spaced wide apart that then became one bright light, then went back to three..",,,
